2020-03-12 14:35:58,794 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '87.1', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:01,715 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '80.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:07,427 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '69.2', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:13,457 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '85.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:18,382 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:25,103 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '79.4', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:27,968 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '51.3', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:30,690 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:33,599 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '61.1', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:41,270 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:43,473 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:45,633 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '5.2', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:47,578 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:50,227 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '7.8', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:52,609 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:36:57,871 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K'}
2020-03-12 14:36:59,825 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '77.5', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:01,750 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.6', 'app_memory_usage': '7.1', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:37:04,651 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '5.4', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:37:09,926 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '18.9', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:12,181 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.5', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:37:15,404 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '76.3', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:17,770 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '58.5', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:21,077 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '5.5', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:24,355 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:37:27,147 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
